pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,col_total_tackles,col_tfl,col_sacks,col_ints,col_pass_deflections,col_qb_hurries,col_fg_made,col_fg_attempted,col_xp_made,col_xp_attempted,col_punts,col_punt_yards,career_av,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof
StucDa20,darrell-stuckey-1,00-0027710,Darrell Stuckey,CB,2010,4,110,SDG,kansas,71.0,205.0,4.46,39.5,120.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,89.0,1,0,0,False
CordJo20,,00-0022856,Jorge Cordova,LB,2004,3,86,JAX,nevada,73.0,241.0,4.65,35.5,,22.0,7.25,4.16,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,17.0,0,0,0,False
WiggJa00,james-wiggins-1,00-0036889,James Wiggins,S,2021,7,243,ARI,cincinnati,71.0,209.0,4.4,38.0,127.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0,0,0,False
BrooJo01,jordyn-brooks-1,00-0036409,Jordyn Brooks,LB,2020,1,27,SEA,texas tech,72.0,240.0,4.54,,,,,,,,,,,160.0,798.0,10.0,,,,,,,,,,,,,,,,,43.0,20.0,97.0,0,1,4,False
StanMo20,montavious-stanley-1,00-0024396,Montavious Stanley,DT,2006,6,182,DAL,louisville,74.0,313.0,5.12,29.0,106.0,,8.06,4.6,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,33.0,0,0,0,False
McCoZy02,,00-0037268,Zyon McCollum,CB,2022,5,157,TAM,sam houston st.,74.0,199.0,4.33,39.5,132.0,,6.48,3.94,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,60.0,0,0,2,False
HarrNi01,nick-harris-3,00-0036236,Nick Harris,C,2020,5,160,CLE,washington,73.0,302.0,5.1,29.5,103.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,45.0,0,0,0,False
HudsKh00,khaleke-hudson-1,00-0036343,Khaleke Hudson,LB,2020,5,162,WAS,michigan,71.0,224.0,4.56,33.0,120.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,75.0,0,0,0,False
SkowBe00,ben-skowronek-1,00-0036862,Ben Skowronek,WR,2021,7,249,LAR,notre dame,,,,,,,,,,,,,,2.0,17.0,1.0,139.0,1856.0,13.0,,,,,,,,,,,,,,8.0,6.0,72.0,1,0,1,False
RichSh00,sheldon-richardson-1,00-0030573,Sheldon Richardson,DT,2013,1,13,NYJ,missouri,74.0,294.0,5.02,32.0,116.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,32.0,138.0,1,0,8,False
LotuSt00,star-lotulelei-1,00-0030455,Star Lotulelei,DT,2013,1,14,CAR,utah,74.0,311.0,5.14,,,,,,,,,,,,,,1.0,17.0,0.0,,,,,,,,,,,,,,48.0,28.0,119.0,0,0,7,False
SkelJo00,,00-0027754,John Skelton,QB,2010,5,155,ARI,fordham,77.0,243.0,4.85,33.5,108.0,,7.17,4.33,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,20.0,0,0,1,False
ClarAd20,,00-0022709,Adrien Clarke,G,2004,7,227,PHI,ohio st.,77.0,329.0,5.52,26.0,102.0,,7.9,4.74,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,28.0,0,0,1,False
ClayKe99,keenan-clayton-1,00-0027721,Keenan Clayton,LB,2010,4,121,PHI,oklahoma,73.0,229.0,4.59,41.5,124.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,36.0,0,0,0,False
LongKy00,,00-0030441,Kyle Long,G,2013,1,20,CHI,oregon,78.0,313.0,4.91,28.0,107.0,,7.83,4.63,,,,,,,,,,,,,,,,,,,,,,,,,40.0,40.0,77.0,3,0,6,False
CoxxPe99,perrish-cox-1,00-0027737,Perrish Cox,CB,2010,5,137,DEN,oklahoma st.,71.0,195.0,4.58,32.5,113.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,3.0,81.0,0,0,4,False
